
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Type: RELAYS
Report Date: Fri Jan 19 12:26:32 UTC 2018
Data Source: https://onionoo.torproject.org/details

NETWORK BANDWIDTH BY AUTONOMOUS SYSTEM NAME

AS_NAME (records)                                        BANDWIDTH
Accelerated IT Services GmbH (10)                        12686956 (0.0%)
InMotion Hosting, Inc. (1)                               12683668 (0.0%)
Incero LLC (3)                                           12676616 (0.0%)
Charter Communications (23)                              12652541 (0.0%)
TOV Trest Ukrtelebud (1)                                 12590080 (0.0%)
Arrowhead A/S (5)                                        12552178 (0.0%)
Perspectiva Ltd. (6)                                     12518635 (0.0%)
GorillaServers, Inc. (3)                                 12290686 (0.0%)
BHost Inc (2)                                            12171198 (0.0%)
Mobiltel Ead (9)                                         12133169 (0.0%)
Stockholms Stadsnat AB (3)                               12094961 (0.0%)
Com Hem AB (8)                                           12090440 (0.0%)
CyrusOne LLC (1)                                         12077056 (0.0%)
nexellent ag (1)                                         12074943 (0.0%)
Total Server Solutions L.L.C. (4)                        12059495 (0.0%)
Andreas Fink trading as Fink Telecom Services (2)        11999505 (0.0%)
iomart Cloud Services Limited. (5)                       11977255 (0.0%)
Hosteam S.c. Tomasz Groszewski Bartosz Waszak Luka (2)   11858476 (0.0%)
ELB Multimedia SARL (1)                                  11857308 (0.0%)
Greenhost BV (8)                                         11748027 (0.0%)
Reliable Hosting Services (1)                            11706974 (0.0%)
Equinix Asia Pacific (16)                                11667628 (0.0%)
UK Dedicated Servers Limited (1)                         11584924 (0.0%)
Zayo France SAS (1)                                      11542414 (0.0%)
Vodafone GmbH (27)                                       11537990 (0.0%)
Dgn Teknoloji A.s. (1)                                   11521024 (0.0%)
Rainside s.r.o. (1)                                      11488789 (0.0%)
2COM Co Ltd. (4)                                         11402855 (0.0%)
Daticum JSC (1)                                          11335242 (0.0%)
SkyNet Ltd. (4)                                          11214570 (0.0%)
Astralus B.V. (7)                                        11153797 (0.0%)
Infium, UAB (1)                                          11140794 (0.0%)
LES.NET (1)                                              10922216 (0.0%)
COLT Technology Services Group Limited (3)               10861426 (0.0%)
AbeloHost B.V. (1)                                       10786613 (0.0%)
Aqua Ray SAS (1)                                         10687647 (0.0%)
Concorde inc. (1)                                        10657016 (0.0%)
Hotwire Communications (1)                               10649820 (0.0%)
Joe's Datacenter, LLC (3)                                10565308 (0.0%)
Virgin Media Limited (25)                                10553548 (0.0%)
eSecureData (1)                                          10536975 (0.0%)
Freifunk Frankfurt am Main e.V. (1)                      10535936 (0.0%)
Sprint (2)                                               10462249 (0.0%)
Swisscom (Switzerland) Ltd (8)                           10454814 (0.0%)
