
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Type: RELAYS
Report Date: Wed Jan  3 18:14:21 UTC 2018
Data Source: https://onionoo.torproject.org/details

CONSENSUS WEIGHT FRACTION BY AUTONOMOUS SYSTEM NUMBER

AS (records)      CONSENSUS_WEIGHT_FRAC
================  =============================================================
AS202759 (2)      0.0%
AS19165 (3)       0.0%
AS17819 (14)      0.0%
AS11426 (6)       0.0%
AS36149 (1)       0.0%
AS2108 (1)        0.0%
AS42431 (1)       0.0%
AS197216 (1)      0.0%
AS28890 (2)       0.0%
AS10796 (11)      0.0%
AS48642 (1)       0.0%
AS39326 (2)       0.0%
AS9145 (6)        0.0%
AS32354 (2)       0.0%
AS9105 (5)        0.0%
AS2527 (5)        0.0%
AS206157 (1)      0.0%
AS3356 (3)        0.0%
AS20552 (1)       0.0%
AS59504 (1)       0.0%
AS6428 (1)        0.0%
AS8371 (2)        0.0%
AS199129 (1)      0.0%
AS58010 (4)       0.0%
AS19108 (1)       0.0%
AS5432 (12)       0.0%
AS8280 (1)        0.0%
AS39102 (1)       0.0%
AS6848 (4)        0.0%
AS57378 (1)       0.0%
AS20880 (3)       0.0%
AS30722 (6)       0.0%
AS15895 (5)       0.0%
AS8612 (5)        0.0%
AS15782 (1)       0.0%
AS45027 (1)       0.0%
AS29670 (5)       0.0%
AS12741 (3)       0.0%
AS31078 (1)       0.0%
AS61272 (2)       0.0%
AS278 (1)         0.0%
AS54489 (1)       0.0%
AS51819 (1)       0.0%
AS13037 (4)       0.0%
AS57041 (2)       0.0%
AS57026 (1)       0.0%
AS33363 (5)       0.0%
AS33083 (1)       0.0%
AS36874 (1)       0.0%
AS28840 (1)       0.0%
AS6640 (1)        0.0%
AS133579 (2)      0.0%
AS44056 (1)       0.0%
AS2611 (2)        0.0%
AS4150 (1)        0.0%
AS29141 (2)       0.0%
AS29124 (4)       0.0%
AS11588 (1)       0.0%
AS200615 (1)      0.0%
AS51838 (1)       0.0%
AS59917 (1)       0.0%
AS15685 (1)       0.0%
AS57191 (1)       0.0%
AS59253 (3)       0.0%
AS39819 (4)       0.0%
AS156 (20)        0.0%
AS21502 (6)       0.0%
AS18501 (2)       0.0%
