
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Type: RELAYS
Report Date: Fri Jan 19 12:26:31 UTC 2018
Data Source: https://onionoo.torproject.org/details

NETWORK BANDWIDTH BY AUTONOMOUS SYSTEM NUMBER

AS (records)      BANDWIDTH
AS46475 (2)       3716242 (0.0%)
AS8559 (1)        3707293 (0.0%)
AS22653 (1)       3698548 (0.0%)
AS59504 (1)       3695616 (0.0%)
AS25 (1)          3693568 (0.0%)
AS201011 (3)      3643576 (0.0%)
AS27699 (3)       3633423 (0.0%)
AS20836 (1)       3628441 (0.0%)
AS35492 (1)       3623678 (0.0%)
AS30793 (1)       3620864 (0.0%)
AS46844 (1)       3611062 (0.0%)
AS39642 (1)       3600324 (0.0%)
AS12741 (4)       3595172 (0.0%)
AS197216 (1)      3550839 (0.0%)
AS12871 (2)       3519719 (0.0%)
AS56300 (1)       3510533 (0.0%)
AS20552 (1)       3498726 (0.0%)
AS34779 (2)       3478487 (0.0%)
AS20712 (2)       3453745 (0.0%)
AS3927 (1)        3411158 (0.0%)
AS28840 (1)       3401823 (0.0%)
AS12874 (3)       3398897 (0.0%)
AS11426 (6)       3398657 (0.0%)
AS12414 (3)       3375340 (0.0%)
AS50716 (1)       3324928 (0.0%)
AS15682 (2)       3313642 (0.0%)
AS852 (2)         3297690 (0.0%)
AS50472 (1)       3293002 (0.0%)
AS3216 (1)        3284555 (0.0%)
AS43561 (2)       3252165 (0.0%)
AS36874 (1)       3246887 (0.0%)
AS15594 (1)       3209137 (0.0%)
AS29321 (1)       3180888 (0.0%)
AS49342 (1)       3155204 (0.0%)
AS31 (1)          3123804 (0.0%)
AS15704 (2)       3090421 (0.0%)
AS13692 (1)       3046774 (0.0%)
AS45815 (1)       3035070 (0.0%)
AS2116 (1)        3025780 (0.0%)
AS7765 (1)        2998005 (0.0%)
AS25092 (1)       2994706 (0.0%)
AS9105 (5)        2994483 (0.0%)
AS198930 (1)      2991444 (0.0%)
AS5769 (4)        2970507 (0.0%)
AS14987 (1)       2949800 (0.0%)
AS62370 (1)       2944723 (0.0%)
AS16302 (1)       2941741 (0.0%)
AS3462 (5)        2935821 (0.0%)
AS38987 (2)       2930764 (0.0%)
AS9145 (4)        2892094 (0.0%)
AS5607 (6)        2880127 (0.0%)
AS133579 (2)      2855007 (0.0%)
AS8369 (1)        2819261 (0.0%)
AS31027 (2)       2815974 (0.0%)
AS2611 (2)        2813245 (0.0%)
AS31078 (1)       2806698 (0.0%)
AS62454 (1)       2791865 (0.0%)
AS47165 (1)       2790552 (0.0%)
AS12620 (2)       2750701 (0.0%)
AS61102 (1)       2747974 (0.0%)
AS16652 (1)       2728275 (0.0%)
AS9304 (4)        2722266 (0.0%)
AS197726 (1)      2718995 (0.0%)
AS58477 (2)       2699226 (0.0%)
AS27715 (2)       2684683 (0.0%)
AS2108 (1)        2683999 (0.0%)
AS16075 (2)       2680012 (0.0%)
AS39392 (1)       2669381 (0.0%)
AS278 (2)         2662872 (0.0%)
AS203953 (2)      2659413 (0.0%)
AS20485 (1)       2636057 (0.0%)
AS15318 (1)       2619116 (0.0%)
AS55045 (2)       2586357 (0.0%)
AS57191 (1)       2586291 (0.0%)
AS35244 (6)       2582802 (0.0%)
AS12659 (1)       2576037 (0.0%)
AS61272 (2)       2574104 (0.0%)
AS8943 (3)        2571273 (0.0%)
AS5539 (1)        2568475 (0.0%)
AS13037 (4)       2559456 (0.0%)
AS202759 (2)      2557527 (0.0%)
AS1128 (1)        2546611 (0.0%)
AS6855 (1)        2536448 (0.0%)
AS21502 (7)       2535851 (0.0%)
AS39598 (1)       2524160 (0.0%)
AS8447 (4)        2522784 (0.0%)
AS136258 (2)      2505310 (0.0%)
AS9916 (2)        2483523 (0.0%)
AS9070 (1)        2480518 (0.0%)
AS32354 (2)       2439303 (0.0%)
AS39309 (3)       2433705 (0.0%)
AS29222 (1)       2431022 (0.0%)
AS7203 (1)        2424748 (0.0%)
AS43858 (1)       2410942 (0.0%)
AS5617 (4)        2375931 (0.0%)
AS39102 (1)       2369994 (0.0%)
AS24851 (1)       2354176 (0.0%)
AS56610 (1)       2354176 (0.0%)
AS13285 (3)       2353632 (0.0%)
AS54489 (1)       2330126 (0.0%)
AS44395 (1)       2324400 (0.0%)
AS37168 (1)       2320687 (0.0%)
AS8371 (2)        2320057 (0.0%)
AS6428 (1)        2306771 (0.0%)
AS204136 (1)      2303400 (0.0%)
AS49368 (1)       2290155 (0.0%)
AS9930 (1)        2284668 (0.0%)
AS6079 (5)        2245817 (0.0%)
AS198203 (6)      2245326 (0.0%)
AS29670 (4)       2226344 (0.0%)
AS40749 (1)       2224561 (0.0%)
AS46816 (1)       2220723 (0.0%)
AS51838 (1)       2213004 (0.0%)
AS12271 (2)       2192442 (0.0%)
AS4771 (2)        2179746 (0.0%)
AS6640 (2)        2173934 (0.0%)
AS39288 (1)       2159736 (0.0%)
AS16904 (1)       2114065 (0.0%)
AS7385 (1)        2105215 (0.0%)
AS12338 (1)       2100224 (0.0%)
AS7545 (5)        2100137 (0.0%)
AS6772 (3)        2091385 (0.0%)
AS15782 (1)       2070309 (0.0%)
AS42575 (1)       2063360 (0.0%)
AS30036 (3)       2044694 (0.0%)
AS134835 (1)      2043121 (0.0%)
AS38731 (3)       2038467 (0.0%)
AS13618 (1)       2015339 (0.0%)
AS61138 (1)       2008157 (0.0%)
AS53187 (2)       2000152 (0.0%)
AS45731 (1)       1967801 (0.0%)
AS13768 (2)       1899669 (0.0%)
AS200462 (1)      1884296 (0.0%)
AS206440 (2)      1881935 (0.0%)
AS6799 (6)        1877899 (0.0%)
AS33083 (1)       1866138 (0.0%)
AS24955 (2)       1843206 (0.0%)
AS31877 (1)       1841987 (0.0%)
AS3253 (1)        1839104 (0.0%)
AS34971 (4)       1821007 (0.0%)
AS9066 (1)        1820690 (0.0%)
AS12312 (3)       1797717 (0.0%)
AS51819 (1)       1795600 (0.0%)
AS15659 (3)       1791404 (0.0%)
AS4181 (2)        1761499 (0.0%)
AS29141 (2)       1747858 (0.0%)
AS8280 (1)        1733156 (0.0%)
AS199883 (3)      1714393 (0.0%)
AS8905 (1)        1707302 (0.0%)
AS49120 (1)       1692333 (0.0%)
AS18501 (2)       1689020 (0.0%)
AS24875 (1)       1665226 (0.0%)
AS1267 (4)        1654910 (0.0%)
AS8893 (1)        1650920 (0.0%)
AS51035 (2)       1636861 (0.0%)
AS12611 (1)       1615141 (0.0%)
AS30444 (1)       1602123 (0.0%)
AS6181 (1)        1590291 (0.0%)
AS46841 (1)       1577375 (0.0%)
AS32244 (1)       1573248 (0.0%)
AS4713 (6)        1572814 (0.0%)
AS1221 (6)        1572760 (0.0%)
AS63916 (2)       1568870 (0.0%)
AS199524 (1)      1545216 (0.0%)
AS43557 (1)       1538999 (0.0%)
AS39138 (1)       1532528 (0.0%)
AS4609 (1)        1516544 (0.0%)
