
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Type: RELAYS
Report Date: Wed Jan  3 18:14:21 UTC 2018
Data Source: https://onionoo.torproject.org/details

CONSENSUS WEIGHT FRACTION BY AUTONOMOUS SYSTEM NAME

AS_NAME (records)                                        CONSENSUS_WEIGHT_FRAC
=======================================================  ======================
East Telecom Ltd. (1)                                    0.0%
CloudHosting SIA (1)                                     0.0%
Mobiltel Ead (6)                                         0.0%
Monkey Brains (3)                                        0.0%
Sprint (3)                                               0.0%
Bredband2 AB (3)                                         0.0%
Vodafone GmbH (31)                                       0.0%
Klimenko Anna.Aleksandrovna PE (1)                       0.0%
Jsc ru-center (1)                                        0.0%
SIA Bighost.lv (10)                                      0.0%
RouteLabel V.O.F. (5)                                    0.0%
MTS PJSC (6)                                             0.0%
Metronet (1)                                             0.0%
dao Consulting, LLC (1)                                  0.0%
ADISTA SAS (1)                                           0.0%
Saint-Petersburg Computer Networks Ltd. (2)              0.0%
Free Software Foundation, Inc. (1)                       0.0%
Login, Inc. (2)                                          0.0%
23VNet Kft. (2)                                          0.0%
TOV Magnus Limited (1)                                   0.0%
NetsurfUSA, Inc. (1)                                     0.0%
TOCICI LLC (2)                                           0.0%
EPB Fiber Optics (1)                                     0.0%
Verixi Sprl (1)                                          0.0%
Swisscom (Switzerland) Ltd (8)                           0.0%
Ziggo (12)                                               0.0%
PE Freehost (2)                                          0.0%
RM Engineering LLC (2)                                   0.0%
Hydra Communications Ltd (6)                             0.0%
New Dream Network, LLC (4)                               0.0%
WEST CALL SPb LLC (2)                                    0.0%
NovaTrend Services GmbH (1)                              0.0%
Info Data Center Ltd. (1)                                0.0%
ITnet S.r.l. (1)                                         0.0%
MnogoByte LLC (1)                                        0.0%
Transip B.V. (6)                                         0.0%
Hostpro Ltd. (3)                                         0.0%
NetAssist LLC (1)                                        0.0%
Orange Espagne S.A.U. (9)                                0.0%
GANDI SAS (6)                                            0.0%
Hosting Solution Ltd. (2)                                0.0%
CyrusOne LLC (1)                                         0.0%
BelCloud Hosting Corporation (7)                         0.0%
Tele Danmark (11)                                        0.0%
Plusine Systems B.V. (1)                                 0.0%
FOP Kazakov Oleksandr Oleksandrovich (2)                 0.0%
home.pl S.A. (2)                                         0.0%
Sorta-hosting-smllc (1)                                  0.0%
Levonline AB (1)                                         0.0%
Szervernet Ltd (1)                                       0.0%
Lucky Net Ltd (3)                                        0.0%
Maxnet Telecom, Ltd (1)                                  0.0%
Brezhnev D.S. PE (1)                                     0.0%
LLC McLaut-Invest (1)                                    0.0%
SYN LTD (1)                                              0.0%
RamNode LLC (10)                                         0.0%
Webaxys SAS (2)                                          0.0%
Mediacom Communications Corp (3)                         0.0%
JSC Mediasoft ekspert (3)                                0.0%
Fibersphere Communications, Inc. (1)                     0.0%
Boston University (1)                                    0.0%
inAsset Networks, S.L. (1)                               0.0%
Edutel BV (4)                                            0.0%
UK-2 Limited (5)                                         0.0%
Penkiu kontinentu komunikaciju centras, Ltd. (1)         0.0%
Indiana University (1)                                   0.0%
Priority Colo Inc (1)                                    0.0%
Neterra Ltd. (6)                                         0.0%
IT Expert LLC (5)                                        0.0%
Next Host SRL (1)                                        0.0%
Stanford University (1)                                  0.0%
Adamo Telecom Iberia S.A. (1)                            0.0%
HOSTING90 systems s.r.o. (1)                             0.0%
Global Data Networks LLC (4)                             0.0%
Shine Servers Llp (6)                                    0.0%
Livenet Sp. z o.o. (3)                                   0.0%
Virgin Media Limited (21)                                0.0%
Telia Stofa A/S (3)                                      0.0%
Input Output Flood LLC (5)                               0.0%
Fastweb (5)                                              0.0%
University of Washington (1)                             0.0%
Flashdance Ab (2)                                        0.0%
Andrews & Arnold Ltd (2)                                 0.0%
Flex Ltd. (1)                                            0.0%
Cogeco Peer 1 (2)                                        0.0%
Corbina Telecom LLC (1)                                  0.0%
PVimpelCom (6)                                           0.0%
Greenhost BV (2)                                         0.0%
Nazwa.pl Sp.z.o.o. (3)                                   0.0%
Netelligent Hosting Services Inc. (1)                    0.0%
Telecom Italia (8)                                       0.0%
IP-Connect LLC (1)                                       0.0%
TELUS Communications Inc. (3)                            0.0%
Inetcom LLC (2)                                          0.0%
Charter Communications (24)                              0.0%
Omnis Network, LLC (2)                                   0.0%
Hostline, Uab (1)                                        0.0%
Solcon Internetdiensten B.V. (3)                         0.0%
RGnet, LLC (1)                                           0.0%
OJSC Comcor (1)                                          0.0%
Novotelecom Ltd (2)                                      0.0%
UK Dedicated Servers Limited (1)                         0.0%
Techstorage sp. z o.o. (1)                               0.0%
Arvig Enterprises Inc. (1)                               0.0%
TDS TELECOM (3)                                          0.0%
Petersburg Internet Network ltd. (2)                     0.0%
Cyberverse, Inc. (1)                                     0.0%
Inovare-Prim SRL (1)                                     0.0%
Gigabit ApS (1)                                          0.0%
Bell Canada (4)                                          0.0%
Telecom.ru Ltd (1)                                       0.0%
Andreas Fahl trading as Megaservers.de (1)               0.0%
Artnet Spolka z ograniczona odpowiedzialnoscia (6)       0.0%
Telia Lietuva, AB (3)                                    0.0%
HEG US Inc. (2)                                          0.0%
Unit-IS Ltd. (5)                                         0.0%
ACE Telecom Kft (1)                                      0.0%
Rices Privately owned enterprise (1)                     0.0%
TIS Dialog LLC (2)                                       0.0%
PE Tetyana Mysyk (1)                                     0.0%
First Colo GmbH (4)                                      0.0%
NetCologne GmbH (10)                                     0.0%
vollmar.net GmbH (4)                                     0.0%
Orange Espagne SA (2)                                    0.0%
Jump Networks Ltd (5)                                    0.0%
AS33891 Netzbetrieb GmbH (3)                             0.0%
SpaceNet AG (1)                                          0.0%
Fx Software Srl (1)                                      0.0%
Leaseweb Asia Pacific pte. ltd. (6)                      0.0%
Genossenschaft GGA Maur (1)                              0.0%
Cox Communications Inc. (22)                             0.0%
Sky UK Limited (7)                                       0.0%
Hostinger International Limited (5)                      0.0%
Mediam Oy (1)                                            0.0%
DA International Group Ltd. (1)                          0.0%
Art Invest Ltd (1)                                       0.0%
California Institute of Technology (1)                   0.0%
Private Entrepreneur Liudmyla V. Murad (1)               0.0%
DAOU TECHNOLOGY (6)                                      0.0%
Total Server Solutions L.L.C. (3)                        0.0%
FuslVZ Ltd. (1)                                          0.0%
Longmont Power & Communications (2)                      0.0%
Carnegie Mellon University (1)                           0.0%
CentroNet a.s. (1)                                       0.0%
UAB Esnet (1)                                            0.0%
Hiper A/S (1)                                            0.0%
Quickline AG (8)                                         0.0%
NTE Bredband AS (1)                                      0.0%
Taiwan Academic Network (TANet) Information Center (5)   0.0%
SC Fastweb SRL (1)                                       0.0%
Ticinocom SA (2)                                         0.0%
Axtel, S.A.B. de C.V. (2)                                0.0%
Quartz Telecom LLC (1)                                   0.0%
JSC Internet-Cosmos (1)                                  0.0%
Dynamic ASP Inc. (1)                                     0.0%
EWE-Tel GmbH (7)                                         0.0%
Elisa Oyj (8)                                            0.0%
Get AS (3)                                               0.0%
Shaw Communications Inc. (9)                             0.0%
C&S Breitband GmbH (1)                                   0.0%
Internetia Sp.z o.o. (1)                                 0.0%
Condointernet.net (1)                                    0.0%
IQ PL Sp. z o.o. (1)                                     0.0%
DIGI Tavkozlesi es Szolgaltato Kft. (3)                  0.0%
Kabel BW (19)                                            0.0%
Enzu Inc (3)                                             0.0%
Korea Telecom (10)                                       0.0%
Prometeus di Daniela Agro (5)                            0.0%
IP-Max SA (1)                                            0.0%
Viking Tech AB (1)                                       0.0%
Internetport Sweden AB (3)                               0.0%
Sharktech (1)                                            0.0%
Cloudlayer8 Limited (1)                                  0.0%
Shinjiru Technology Sdn Bhd (12)                         0.0%
Solar Invest UK LTD. (1)                                 0.0%
CityNet Telekom Ltd. (1)                                 0.0%
[netzquadrat] GmbH (1)                                   0.0%
InterBS S.R.L. (BAEHOST) (11)                            0.0%
TekSavvy Solutions, Inc. (10)                            0.0%
SoftLayer Technologies Inc. (6)                          0.0%
TOV Global-NET (1)                                       0.0%
Nevod Ltd (1)                                            0.0%
ISP Fregat Ltd. (3)                                      0.0%
Integra Telecom, Inc. (1)                                0.0%
McGill University (1)                                    0.0%
Tiera Centr Ltd (1)                                      0.0%
Xtra Telecom S.A. (3)                                    0.0%
Nianet A/S (2)                                           0.0%
GTT a.s. (1)                                             0.0%
OOO MediaSeti (1)                                        0.0%
KAMP Netzwerkdienste GmbH (1)                            0.0%
NET1 Ltd. (2)                                            0.0%
Octopuce s.a.r.l. (1)                                    0.0%
GMO Internet,Inc (3)                                     0.0%
meerfarbig GmbH & Co. KG (1)                             0.0%
Portlane AB (3)                                          0.0%
LLC KomTehCentr (2)                                      0.0%
